N,Fecha,Película,Director,Actor,Actriz,Actor de reparto,Actriz de reparto,Presentador,Audiencia
1.ª,16 de mayo de 1929,*Wings*,"F. Borzage
L. Milestone",E. Jannings,J. Gaynor,—,—,"Douglas Fairbanks
William C. deMille",
2.ª,3 de abril de 1930,*The Broadway Melody*,F. Lloyd,W. Baxter,M. Pickford,,,William C. deMille,
3.ª,5 de noviembre de 1930,*All Quiet on the Western Front*,L. Milestone,G. Arliss,N. Shearer,,,Conrad Nagel,
4.ª,10 de noviembre de 1931,*Cimarron*,N. Taurog,L. Barrymore,M. Dressler,,,Lawrence Grant,
5.ª,18 de noviembre de 1932,*Grand Hotel*,F. Borzage,"F. March
W. Beery",H. Hayes,,,"Lionel Barrymore
Conrad Nagel",
6.ª,16 de marzo de 1934,*Cavalcade*,F. Lloyd,C. Laughton,K. Hepburn,,,Will Rogers,
7.ª,27 de febrero de 1935,*It Happened One Night*,F. Capra,C. Gable,C. Colbert,,,Irvin S. Cobb,
8.ª,5 de marzo de 1936,*Mutiny on the Bounty*,J. Ford,V. McLaglen,B. Davis,,,Frank Capra,
9.ª,4 de marzo de 1937,*The Great Ziegfeld*,F. Capra,P. Muni,L. Rainer,W. Brennan,G. Sondergaard,George Jessel,
10.ª,10 de marzo de 1938,*life of emile !The Life of Emile Zola*,L. McCarey,S. Tracy,L. Rainer,J. Schildkraut,A. Brady,Bob Burns,
11.ª,23 de febrero de 1939,*You Can't Take It With You*,F. Capra,S. Tracy,B. Davis,W. Brennan,F. Bainter,,
12.ª,29 de febrero de 1940,*Gone with the Wind*,V. Fleming,R. Donat,V. Leigh,T. Mitchell,H. McDaniel,Bob Hope,
13.ª,27 de febrero de 1941,*Rebecca*,J. Ford,J. Stewart,G. Rogers,W. Brennan,J. Darwell,,
14.ª,26 de febrero de 1942,*How Green Was My Valley*,J. Ford,G. Cooper,J. Fontaine,D. Crisp,M. Astor,,
15.ª,4 de marzo de 1943,*MrS. Miniver*,W. Wyler,J. Cagney,G. Garson,V. Heflin,T. Wright,Bob Hope,
16.ª,2de marzo de 1944,*Casablanca*,M. Curtiz,P. Lukas,J. Jones,C. Coburn,K. Paxinou,Jack Benny,
17.ª,15 de marzo de 1945,*Going My Way*,L. McCarey,B. Crosby,I. Bergman,B. Fitzgerald,E. Barrymore,"Bob Hope
John Cromwell",
18.ª,7de marzo de 1946,*The Lost Weekend*,B. Wilder,R. Milland,J. Crawford,J. Dunn,A. Revere,"Bob Hope
James Stewart",
19.ª,13 de marzo de 1947,*best years !The Best Years of Our Lives*,W. Wyler,F. March,O. de Havilland,H. Russell,A. Baxter,Jack Benny,
20.ª,20 de marzo de 1948,*Gentleman's Agreement*,E. Kazan,R. Colman,L. Young,E. Gwenn,C. Holm,"Agnes Moorehead
Dick Powell",
21.ª,24 de marzo de 1949,*Hamlet*,J. Huston,L. Olivier,J. Wyman,W. Huston,C. Trevor,Robert Montgomery,
22.ª,23 de marzo de 1950,*All the King's Men*,J. Mankiewicz,B. Crawford,O. de Havilland,D. Jagger,M. McCambridge,Paul Douglas,
23.ª,29 de marzo de 1951,*All About Eve*,J. Mankiewicz,J. Ferrer,J. Holliday,G. Sanders,J. Hull,Fred Astaire,
24.ª,20 de marzo de 1952,*An american in Paris*,G. Stevens,H. Bogart,V. Leigh,K. Malden,K. Hunter,Danny Kaye,
25.ª,19 de marzo de 1953,*The Greatest Show on Earth*,J. Ford,G. Cooper,S. Booth,A. Quinn,G. Grahame,"Bob Hope
Conrad Nagel",
26.ª,25 de marzo de 1954,*From Here to Eternity*,F. Zinnemann,W. Holden,A. Hepburn,F. Sinatra,D. Reed,"Donald O'Connor
Fredric March",40 000 000
27.ª,30 de marzo de 1955,*On the Waterfront*,E. Kazan,M. Brando,G. Kelly,E. O'Brien,E. M. Saint,"Bob Hope
Thelma Ritter",43 000 000
28.ª,21 de marzo de 1956,*Marty*,D. Mann,E. Borgnine,A. Magnani,J. Lemmon,J. Van Fleet,"Jerry Lewis
Claudette Colbert
Joseph L. Mankiewicz",
29.ª,27 de marzo de 1957,*Around the World in 80 Days*,G. Stevens,Y. Brynner,I. Bergman,A. Quinn,D. Malone,"Jerry Lewis
Celeste Holm",
30.ª,26 de marzo de 1958,*bridge !The Bridge on the River Kwai*,D. Lean,A. Guinness,J. Woodward,R. Buttons,M. Umeki,"Bob Hope
David Niven
James Stewart
Jack Lemmon
Rosalind Russell",
31.ª,6 de abril de 1959,*Gigi*,V. Minnelli,D. Niven,S. Hayward,B. Ives,W. Hiller,"Bob Hope
David Niven
Tony Randall
Mort Sahl
Laurence Olivier
Jerry Lewis",
32.ª,4 de abril de 1960,*Ben-Hur*,W. Wyler,C. Heston,S. Signoret,H. Griffith,S. Winters,Bob Hope,
33.ª,17 de abril de 1961,*apartment !The Apartment*,B. Wilder,B. Lancaster,E. Taylor,P. Ustinov,S. Jones,,
34.ª,9 de abril de 1962,*West Side Story*,"R. Wise
J. Robbins",M. Schell,S. Loren,G. Chakiris,R. Moreno,,
35.ª,8 de abril de 1963,*Lawrence of Arabia*,D. Lean,G. Peck,A. Bancroft,E. Begley,P. Duke,Frank Sinatra,
36.ª,13 de abril de 1964,*Tom Jones*,T. Richardson,S. Poitier,P. Neal,M. Douglas,M. Rutherford,Jack Lemmon,
